"구분(1)",구분(2),구분(3),구분(4),2020,2021
"전국",합계,소계,소계,17303386.4,16751314.6
"전국",종량제방식 등 혼합배출,소계,소계,8041965.2,8147806.3
"전국",종량제방식 등 혼합배출,가연성,소계,6929046.9,6927858.2
"전국",종량제방식 등 혼합배출,가연성,폐지류,1829611.5,1873452.9
"전국",종량제방식 등 혼합배출,가연성,폐합성수지류,1706740.2,1750968.8
"전국",종량제방식 등 혼합배출,가연성,폐고무류,145010.4,107296.2
"전국",종량제방식 등 혼합배출,가연성,폐섬유류,370664.1,396048.7
"전국",종량제방식 등 혼합배출,가연성,음식물류 폐기물,481839.1,523535.9
"전국",종량제방식 등 혼합배출,가연성,폐목재류,415212.3,446902.0
"전국",종량제방식 등 혼합배출,가연성,기타,1979969.3,1829653.7
"전국",종량제방식 등 혼합배출,불연성,소계,852504.4,959725.8
"전국",종량제방식 등 혼합배출,불연성,폐금속류,160829.8,178206.8
"전국",종량제방식 등 혼합배출,불연성,폐유리류,226757.3,239808.8
"전국",종량제방식 등 혼합배출,불연성,폐토사류,65799.6,76362.8
"전국",종량제방식 등 혼합배출,불연성,폐타일 및 도자기류,50142.9,46498.7
"전국",종량제방식 등 혼합배출,불연성,연탄재,44568.0,39982.8
"전국",종량제방식 등 혼합배출,불연성,기타,304406.8,378865.9
"전국",종량제방식 등 혼합배출,건설폐재류,건설폐재류(공사장생활폐기물),182655.6,195182.5
"전국",종량제방식 등 혼합배출,기타(배출불명등),소계,77758.3,65039.8
"전국",재활용 가능자원 분리배출,소계,소계,4591042.2,4127950.4
"전국",재활용 가능자원 분리배출,폐지류,종이팩,56003.2,16534.5
"전국",재활용 가능자원 분리배출,폐지류,기타,1336800.9,1245134.8
"전국",재활용 가능자원 분리배출,고철류,소계,265888.3,146660.1
"전국",재활용 가능자원 분리배출,금속캔,소계,133279.8,92120.9
"전국",재활용 가능자원 분리배출,폐합성수지류,비닐류,446161.1,439615.7
"전국",재활용 가능자원 분리배출,폐합성수지류,발포수지류,74814.9,62222.9
"전국",재활용 가능자원 분리배출,폐합성수지류,PET병,219142.9,185719.0
"전국",재활용 가능자원 분리배출,폐합성수지류,기타,418641.9,471651.9
"전국",재활용 가능자원 분리배출,폐고무류,소계,9404.2,6282.1
"전국",재활용 가능자원 분리배출,폐유리병류,소계,291541.4,282434.9
"전국",재활용 가능자원 분리배출,폐의류,소계,82422.7,118386.3
"전국",재활용 가능자원 분리배출,폐섬유류,소계,27083.2,15655.6
"전국",재활용 가능자원 분리배출,조명폐기물,조명폐기물,7420.9,6296.6
"전국",재활용 가능자원 분리배출,폐전지류,소계,42327.2,4432.8
"전국",재활용 가능자원 분리배출,영농폐기물,농약용기류,3070.9,5194.4
"전국",재활용 가능자원 분리배출,영농폐기물,폐비닐,166927.2,202424.1
"전국",재활용 가능자원 분리배출,폐식용유,소계,2955.1,3220.3
"전국",재활용 가능자원 분리배출,폐전기전자제품,소계,74814.2,85933.3
"전국",재활용 가능자원 분리배출,폐가구류,소계,153300.4,111983.7
"전국",재활용 가능자원 분리배출,기타,소계,134134.0,66060.0
"전국",재활용 가능자원 분리배출,재활용 잔재물,소계,644907.8,559986.5
"전국",음식물류 폐기물 분리배출,소계,소계,4670379.0,4475557.9
"서울",합계,소계,소계,3177620.0,2899182.3
"서울",종량제방식 등 혼합배출,소계,소계,1180049.4,1162846.9
"서울",종량제방식 등 혼합배출,가연성,소계,1083297.3,1085897.4
"서울",종량제방식 등 혼합배출,가연성,폐지류,317827.8,339570.4
"서울",종량제방식 등 혼합배출,가연성,폐합성수지류,251587.1,248002.5
"서울",종량제방식 등 혼합배출,가연성,폐고무류,14989.0,6244.3
"서울",종량제방식 등 혼합배출,가연성,폐섬유류,28651.3,21642.0
"서울",종량제방식 등 혼합배출,가연성,음식물류 폐기물,40255.9,26089.2
"서울",종량제방식 등 혼합배출,가연성,폐목재류,60996.1,45361.7
"서울",종량제방식 등 혼합배출,가연성,기타,368990.1,398987.3
"서울",종량제방식 등 혼합배출,불연성,소계,83342.0,68560.2
"서울",종량제방식 등 혼합배출,불연성,폐금속류,11095.4,10603.8
"서울",종량제방식 등 혼합배출,불연성,폐유리류,19656.6,21011.1
"서울",종량제방식 등 혼합배출,불연성,폐토사류,4688.1,3998.2
"서울",종량제방식 등 혼합배출,불연성,폐타일 및 도자기류,4364.6,4797.5
"서울",종량제방식 등 혼합배출,불연성,연탄재,1600.5,20.5
"서울",종량제방식 등 혼합배출,불연성,기타,41936.8,28129.1
"서울",종량제방식 등 혼합배출,건설폐재류,건설폐재류(공사장생활폐기물),4258.4,8328.9
"서울",종량제방식 등 혼합배출,기타(배출불명등),소계,9151.7,60.4
"서울",재활용 가능자원 분리배출,소계,소계,1135338.5,900880.7
"서울",재활용 가능자원 분리배출,폐지류,종이팩,19747.4,740.4
"서울",재활용 가능자원 분리배출,폐지류,기타,370052.3,242592.7
"서울",재활용 가능자원 분리배출,고철류,소계,21867.7,11393.4
"서울",재활용 가능자원 분리배출,금속캔,소계,27334.0,18812.4
"서울",재활용 가능자원 분리배출,폐합성수지류,비닐류,151453.5,142013.8
"서울",재활용 가능자원 분리배출,폐합성수지류,발포수지류,15523.8,15494.8
"서울",재활용 가능자원 분리배출,폐합성수지류,PET병,47306.7,39452.2
"서울",재활용 가능자원 분리배출,폐합성수지류,기타,127978.7,113616.5
"서울",재활용 가능자원 분리배출,폐고무류,소계,18.5,22.2
"서울",재활용 가능자원 분리배출,폐유리병류,소계,81383.2,58904.0
"서울",재활용 가능자원 분리배출,폐의류,소계,35626.8,25852.4
"서울",재활용 가능자원 분리배출,폐섬유류,소계,11270.1,14042.3
"서울",재활용 가능자원 분리배출,조명폐기물,조명폐기물,1548.7,1536.8
"서울",재활용 가능자원 분리배출,폐전지류,소계,590.6,482.7
"서울",재활용 가능자원 분리배출,영농폐기물,농약용기류,0.0,0.2
"서울",재활용 가능자원 분리배출,영농폐기물,폐비닐,0.0,0.0
"서울",재활용 가능자원 분리배출,폐식용유,소계,1913.9,2061.1
"서울",재활용 가능자원 분리배출,폐전기전자제품,소계,6957.7,7766.8
"서울",재활용 가능자원 분리배출,폐가구류,소계,33566.7,15784.3
"서울",재활용 가능자원 분리배출,기타,소계,14109.5,13367.9
"서울",재활용 가능자원 분리배출,재활용 잔재물,소계,167088.7,176943.8
"서울",음식물류 폐기물 분리배출,소계,소계,862232.1,835454.7
"부산",합계,소계,소계,1148394.2,786487.3
"부산",종량제방식 등 혼합배출,소계,소계,335144.3,341567.9
"부산",종량제방식 등 혼합배출,가연성,소계,303896.8,251571.6
"부산",종량제방식 등 혼합배출,가연성,폐지류,96493.1,79872.2
"부산",종량제방식 등 혼합배출,가연성,폐합성수지류,134077.9,106400.3
"부산",종량제방식 등 혼합배출,가연성,폐고무류,31030.3,489.2
"부산",종량제방식 등 혼합배출,가연성,폐섬유류,13117.6,32120.9
"부산",종량제방식 등 혼합배출,가연성,음식물류 폐기물,19872.6,25065.3
"부산",종량제방식 등 혼합배출,가연성,폐목재류,5986.6,5577.1
"부산",종량제방식 등 혼합배출,가연성,기타,3318.7,2046.6
"부산",종량제방식 등 혼합배출,불연성,소계,31247.5,89996.3
"부산",종량제방식 등 혼합배출,불연성,폐금속류,10421.9,5666.1
"부산",종량제방식 등 혼합배출,불연성,폐유리류,8238.5,5215.6
"부산",종량제방식 등 혼합배출,불연성,폐토사류,309.0,0.0
"부산",종량제방식 등 혼합배출,불연성,폐타일 및 도자기류,0.0,0.0
"부산",종량제방식 등 혼합배출,불연성,연탄재,0.0,0.0
"부산",종량제방식 등 혼합배출,불연성,기타,12278.1,79114.6
"부산",종량제방식 등 혼합배출,건설폐재류,건설폐재류(공사장생활폐기물),0.0,0.0
"부산",종량제방식 등 혼합배출,기타(배출불명등),소계,0.0,0.0
"부산",재활용 가능자원 분리배출,소계,소계,571235.6,232079.2
"부산",재활용 가능자원 분리배출,폐지류,종이팩,193.0,209.2
"부산",재활용 가능자원 분리배출,폐지류,기타,253673.8,84844.9
"부산",재활용 가능자원 분리배출,고철류,소계,39731.6,3262.3
"부산",재활용 가능자원 분리배출,금속캔,소계,34727.2,5405.5
